Parish,Tract,Week (Thur-Wed),Date for start of week,Date for end of week,Weekly Test Count,Weekly Negative Test Count,Weekly Positive Test Count,Weekly Case Count
Acadia,22001960100,1,2/27/20,3/4/20,0,0,0,0
Acadia,22001960100,2,3/5/20,3/11/20,0,0,0,0
Acadia,22001960100,3,3/12/20,3/18/20,5,5,0,0
Acadia,22001960100,4,3/19/20,3/25/20,7,7,0,0
Acadia,22001960100,5,3/26/20,4/1/20,24,24,0,0
Acadia,22001960100,6,4/2/20,4/8/20,28,27,1,1
Acadia,22001960100,7,4/9/20,4/15/20,22,15,7,1
Acadia,22001960100,8,4/16/20,4/22/20,30,29,1,1
Acadia,22001960100,9,4/23/20,4/29/20,39,36,3,2
Acadia,22001960100,10,4/30/20,5/6/20,35,28,7,5
Acadia,22001960100,11,5/7/20,5/13/20,49,47,2,1
Acadia,22001960100,12,5/14/20,5/20/20,43,36,7,4
Acadia,22001960100,13,5/21/20,5/27/20,58,50,8,4
Acadia,22001960100,14,5/28/20,6/3/20,108,93,15,14
Acadia,22001960100,15,6/4/20,6/10/20,97,84,13,6
Acadia,22001960100,16,6/11/20,6/17/20,368,339,29,16
Acadia,22001960100,17,6/18/20,6/24/20,388,343,45,28
Acadia,22001960100,18,6/25/20,7/1/20,291,239,51,39
Acadia,22001960100,19,7/2/20,7/8/20,279,215,64,47
Acadia,22001960100,20,7/9/20,7/15/20,287,216,71,44
Acadia,22001960100,21,7/16/20,7/22/20,220,176,44,26
Acadia,22001960100,22,7/23/20,7/29/20,171,137,34,22
Acadia,22001960100,23,7/30/20,8/5/20,153,135,15,11
Acadia,22001960100,24,8/6/20,8/12/20,146,134,12,9
Acadia,22001960100,25,8/13/20,8/19/20,116,111,5,5
Acadia,22001960100,26,8/20/20,8/26/20,110,105,5,2
Acadia,22001960100,27,8/27/20,9/2/20,112,109,3,2
Acadia,22001960100,28,9/3/20,9/9/20,133,130,3,2
Acadia,22001960100,29,9/10/20,9/16/20,98,95,3,1
Acadia,22001960100,30,9/17/20,9/23/20,108,106,2,2
Acadia,22001960100,31,9/24/20,9/30/20,96,94,2,2
Acadia,22001960200,1,2/27/20,3/4/20,0,0,0,0
Acadia,22001960200,2,3/5/20,3/11/20,0,0,0,0
Acadia,22001960200,3,3/12/20,3/18/20,8,8,0,0
Acadia,22001960200,4,3/19/20,3/25/20,22,18,4,1
Acadia,22001960200,5,3/26/20,4/1/20,17,12,5,1
Acadia,22001960200,6,4/2/20,4/8/20,21,14,7,3
Acadia,22001960200,7,4/9/20,4/15/20,17,17,0,0
Acadia,22001960200,8,4/16/20,4/22/20,23,22,1,1
Acadia,22001960200,9,4/23/20,4/29/20,11,9,2,1
Acadia,22001960200,10,4/30/20,5/6/20,30,27,3,0
Acadia,22001960200,11,5/7/20,5/13/20,34,31,3,0
Acadia,22001960200,12,5/14/20,5/20/20,38,36,2,0
Acadia,22001960200,13,5/21/20,5/27/20,40,36,4,3
Acadia,22001960200,14,5/28/20,6/3/20,102,93,9,7
Acadia,22001960200,15,6/4/20,6/10/20,85,77,8,2
Acadia,22001960200,16,6/11/20,6/17/20,107,96,11,9
Acadia,22001960200,17,6/18/20,6/24/20,215,182,33,26
Acadia,22001960200,18,6/25/20,7/1/20,152,121,31,27
Acadia,22001960200,19,7/2/20,7/8/20,177,141,36,25
Acadia,22001960200,20,7/9/20,7/15/20,169,125,43,26
Acadia,22001960200,21,7/16/20,7/22/20,127,97,29,21
Acadia,22001960200,22,7/23/20,7/29/20,110,96,14,11
Acadia,22001960200,23,7/30/20,8/5/20,96,84,11,8
Acadia,22001960200,24,8/6/20,8/12/20,83,75,8,5
Acadia,22001960200,25,8/13/20,8/19/20,83,79,4,4
Acadia,22001960200,26,8/20/20,8/26/20,59,57,2,2
Acadia,22001960200,27,8/27/20,9/2/20,49,47,2,2
Acadia,22001960200,28,9/3/20,9/9/20,63,57,6,5
Acadia,22001960200,29,9/10/20,9/16/20,75,73,2,1
Acadia,22001960200,30,9/17/20,9/23/20,71,67,4,3
Acadia,22001960200,31,9/24/20,9/30/20,80,70,10,10
Acadia,22001960300,1,2/27/20,3/4/20,0,0,0,0
Acadia,22001960300,2,3/5/20,3/11/20,0,0,0,0
Acadia,22001960300,3,3/12/20,3/18/20,8,8,0,0
Acadia,22001960300,4,3/19/20,3/25/20,15,15,0,0
Acadia,22001960300,5,3/26/20,4/1/20,10,4,6,1
Acadia,22001960300,6,4/2/20,4/8/20,30,30,0,0
Acadia,22001960300,7,4/9/20,4/15/20,3,3,0,0
Acadia,22001960300,8,4/16/20,4/22/20,6,6,0,0
Acadia,22001960300,9,4/23/20,4/29/20,5,5,0,0
Acadia,22001960300,10,4/30/20,5/6/20,23,23,0,0
Acadia,22001960300,11,5/7/20,5/13/20,26,26,0,0
Acadia,22001960300,12,5/14/20,5/20/20,43,30,13,13
Acadia,22001960300,13,5/21/20,5/27/20,239,155,83,79
Acadia,22001960300,14,5/28/20,6/3/20,31,31,0,0
Acadia,22001960300,15,6/4/20,6/10/20,40,38,2,2
Acadia,22001960300,16,6/11/20,6/17/20,55,47,8,7
Acadia,22001960300,17,6/18/20,6/24/20,89,81,8,5
Acadia,22001960300,18,6/25/20,7/1/20,82,62,20,13
Acadia,22001960300,19,7/2/20,7/8/20,86,72,14,13
Acadia,22001960300,20,7/9/20,7/15/20,72,61,11,10
Acadia,22001960300,21,7/16/20,7/22/20,66,58,8,7
Acadia,22001960300,22,7/23/20,7/29/20,62,48,14,11
Acadia,22001960300,23,7/30/20,8/5/20,52,37,15,8
Acadia,22001960300,24,8/6/20,8/12/20,72,56,16,15
Acadia,22001960300,25,8/13/20,8/19/20,46,42,4,1
Acadia,22001960300,26,8/20/20,8/26/20,42,37,5,1
Acadia,22001960300,27,8/27/20,9/2/20,31,27,3,3
Acadia,22001960300,28,9/3/20,9/9/20,33,30,3,1
Acadia,22001960300,29,9/10/20,9/16/20,88,88,0,0
Acadia,22001960300,30,9/17/20,9/23/20,35,34,1,1
Acadia,22001960300,31,9/24/20,9/30/20,41,37,4,3
Acadia,22001960400,1,2/27/20,3/4/20,0,0,0,0
Acadia,22001960400,2,3/5/20,3/11/20,0,0,0,0
Acadia,22001960400,3,3/12/20,3/18/20,13,13,0,0
Acadia,22001960400,4,3/19/20,3/25/20,19,17,2,1
Acadia,22001960400,5,3/26/20,4/1/20,29,28,1,1
Acadia,22001960400,6,4/2/20,4/8/20,31,22,9,4
Acadia,22001960400,7,4/9/20,4/15/20,38,37,1,1
Acadia,22001960400,8,4/16/20,4/22/20,31,31,0,0
Acadia,22001960400,9,4/23/20,4/29/20,32,31,1,0
Acadia,22001960400,10,4/30/20,5/6/20,29,29,0,0
Acadia,22001960400,11,5/7/20,5/13/20,56,51,5,5
Acadia,22001960400,12,5/14/20,5/20/20,49,49,0,0
Acadia,22001960400,13,5/21/20,5/27/20,37,37,0,0
Acadia,22001960400,14,5/28/20,6/3/20,89,82,7,6
Acadia,22001960400,15,6/4/20,6/10/20,95,84,11,9
Acadia,22001960400,16,6/11/20,6/17/20,91,87,4,3
Acadia,22001960400,17,6/18/20,6/24/20,134,108,26,20
Acadia,22001960400,18,6/25/20,7/1/20,195,164,31,25
Acadia,22001960400,19,7/2/20,7/8/20,118,88,29,23
Acadia,22001960400,20,7/9/20,7/15/20,176,137,39,29
Acadia,22001960400,21,7/16/20,7/22/20,116,92,24,18
Acadia,22001960400,22,7/23/20,7/29/20,79,62,16,10
Acadia,22001960400,23,7/30/20,8/5/20,84,68,16,14
Acadia,22001960400,24,8/6/20,8/12/20,94,81,13,7
Acadia,22001960400,25,8/13/20,8/19/20,71,71,0,0
Acadia,22001960400,26,8/20/20,8/26/20,58,48,10,7
Acadia,22001960400,27,8/27/20,9/2/20,34,33,1,1
Acadia,22001960400,28,9/3/20,9/9/20,51,48,3,3
Acadia,22001960400,29,9/10/20,9/16/20,61,60,1,1
Acadia,22001960400,30,9/17/20,9/23/20,55,51,4,4
Acadia,22001960400,31,9/24/20,9/30/20,59,58,1,1
Acadia,22001960500,1,2/27/20,3/4/20,0,0,0,0
Acadia,22001960500,2,3/5/20,3/11/20,0,0,0,0
Acadia,22001960500,3,3/12/20,3/18/20,18,15,3,1
Acadia,22001960500,4,3/19/20,3/25/20,30,29,1,1
Acadia,22001960500,5,3/26/20,4/1/20,27,27,0,0
Acadia,22001960500,6,4/2/20,4/8/20,37,37,0,0
Acadia,22001960500,7,4/9/20,4/15/20,17,17,0,0
Acadia,22001960500,8,4/16/20,4/22/20,30,30,0,0
Acadia,22001960500,9,4/23/20,4/29/20,30,30,0,0
Acadia,22001960500,10,4/30/20,5/6/20,41,37,4,1
Acadia,22001960500,11,5/7/20,5/13/20,42,41,1,1
Acadia,22001960500,12,5/14/20,5/20/20,37,37,0,0
Acadia,22001960500,13,5/21/20,5/27/20,54,51,3,3
Acadia,22001960500,14,5/28/20,6/3/20,105,98,7,6
Acadia,22001960500,15,6/4/20,6/10/20,65,60,5,1
Acadia,22001960500,16,6/11/20,6/17/20,88,78,10,6
Acadia,22001960500,17,6/18/20,6/24/20,211,179,32,23
Acadia,22001960500,18,6/25/20,7/1/20,286,261,24,18
Acadia,22001960500,19,7/2/20,7/8/20,171,116,55,39
Acadia,22001960500,20,7/9/20,7/15/20,209,152,57,43
Acadia,22001960500,21,7/16/20,7/22/20,135,110,25,17
Acadia,22001960500,22,7/23/20,7/29/20,109,92,17,13
Acadia,22001960500,23,7/30/20,8/5/20,85,78,7,5
Acadia,22001960500,24,8/6/20,8/12/20,95,83,12,7
Acadia,22001960500,25,8/13/20,8/19/20,84,70,14,12
Acadia,22001960500,26,8/20/20,8/26/20,58,50,6,1
Acadia,22001960500,27,8/27/20,9/2/20,50,45,5,2
Acadia,22001960500,28,9/3/20,9/9/20,66,60,6,6
Acadia,22001960500,29,9/10/20,9/16/20,51,49,2,2
Acadia,22001960500,30,9/17/20,9/23/20,74,69,5,5
Acadia,22001960500,31,9/24/20,9/30/20,74,65,9,9
Acadia,22001960600,1,2/27/20,3/4/20,0,0,0,0
Acadia,22001960600,2,3/5/20,3/11/20,0,0,0,0
Acadia,22001960600,3,3/12/20,3/18/20,18,18,0,0
Acadia,22001960600,4,3/19/20,3/25/20,29,26,3,1
Acadia,22001960600,5,3/26/20,4/1/20,45,43,1,1
Acadia,22001960600,6,4/2/20,4/8/20,68,64,4,2
Acadia,22001960600,7,4/9/20,4/15/20,48,48,0,0
Acadia,22001960600,8,4/16/20,4/22/20,46,40,6,2
Acadia,22001960600,9,4/23/20,4/29/20,41,41,0,0
Acadia,22001960600,10,4/30/20,5/6/20,55,55,0,0
Acadia,22001960600,11,5/7/20,5/13/20,70,67,3,1
Acadia,22001960600,12,5/14/20,5/20/20,36,36,0,0
Acadia,22001960600,13,5/21/20,5/27/20,59,56,3,1
Acadia,22001960600,14,5/28/20,6/3/20,102,95,7,5
Acadia,22001960600,15,6/4/20,6/10/20,59,56,3,2
Acadia,22001960600,16,6/11/20,6/17/20,96,84,12,9
Acadia,22001960600,17,6/18/20,6/24/20,226,198,28,19
Acadia,22001960600,18,6/25/20,7/1/20,332,291,41,26
Acadia,22001960600,19,7/2/20,7/8/20,287,233,54,32
Acadia,22001960600,20,7/9/20,7/15/20,326,205,121,90
Acadia,22001960600,21,7/16/20,7/22/20,154,110,44,22
Acadia,22001960600,22,7/23/20,7/29/20,142,110,32,16
Acadia,22001960600,23,7/30/20,8/5/20,160,137,23,18
Acadia,22001960600,24,8/6/20,8/12/20,110,104,6,3
Acadia,22001960600,25,8/13/20,8/19/20,111,108,3,2
Acadia,22001960600,26,8/20/20,8/26/20,52,50,2,1
Acadia,22001960600,27,8/27/20,9/2/20,42,41,1,1
Acadia,22001960600,28,9/3/20,9/9/20,63,59,4,4
Acadia,22001960600,29,9/10/20,9/16/20,85,76,9,8
Acadia,22001960600,30,9/17/20,9/23/20,91,86,4,3
Acadia,22001960600,31,9/24/20,9/30/20,70,65,5,4
Acadia,22001960700,1,2/27/20,3/4/20,0,0,0,0
Acadia,22001960700,2,3/5/20,3/11/20,0,0,0,0
Acadia,22001960700,3,3/12/20,3/18/20,15,15,0,0
Acadia,22001960700,4,3/19/20,3/25/20,33,29,4,2
Acadia,22001960700,5,3/26/20,4/1/20,25,19,6,3
Acadia,22001960700,6,4/2/20,4/8/20,49,41,8,1
Acadia,22001960700,7,4/9/20,4/15/20,35,33,2,0
Acadia,22001960700,8,4/16/20,4/22/20,12,10,2,1
Acadia,22001960700,9,4/23/20,4/29/20,17,17,0,0
Acadia,22001960700,10,4/30/20,5/6/20,51,47,4,1
Acadia,22001960700,11,5/7/20,5/13/20,33,30,3,1
Acadia,22001960700,12,5/14/20,5/20/20,21,20,1,0
Acadia,22001960700,13,5/21/20,5/27/20,24,23,1,1
Acadia,22001960700,14,5/28/20,6/3/20,85,70,15,9
Acadia,22001960700,15,6/4/20,6/10/20,44,40,4,3
Acadia,22001960700,16,6/11/20,6/17/20,77,64,13,9
Acadia,22001960700,17,6/18/20,6/24/20,103,87,16,8
Acadia,22001960700,18,6/25/20,7/1/20,264,212,52,30
Acadia,22001960700,19,7/2/20,7/8/20,142,97,45,27
Acadia,22001960700,20,7/9/20,7/15/20,151,119,31,28
Acadia,22001960700,21,7/16/20,7/22/20,122,87,35,21
Acadia,22001960700,22,7/23/20,7/29/20,89,67,21,16
Acadia,22001960700,23,7/30/20,8/5/20,89,73,16,8
Acadia,22001960700,24,8/6/20,8/12/20,80,63,17,12
Acadia,22001960700,25,8/13/20,8/19/20,73,69,4,3
Acadia,22001960700,26,8/20/20,8/26/20,38,37,1,1
Acadia,22001960700,27,8/27/20,9/2/20,49,41,8,6
Acadia,22001960700,28,9/3/20,9/9/20,49,49,0,0
Acadia,22001960700,29,9/10/20,9/16/20,62,58,4,1
Acadia,22001960700,30,9/17/20,9/23/20,63,55,8,3
Acadia,22001960700,31,9/24/20,9/30/20,46,46,0,0
Acadia,22001960800,1,2/27/20,3/4/20,0,0,0,0
Acadia,22001960800,2,3/5/20,3/11/20,0,0,0,0
Acadia,22001960800,3,3/12/20,3/18/20,7,7,0,0
Acadia,22001960800,4,3/19/20,3/25/20,23,20,3,2
Acadia,22001960800,5,3/26/20,4/1/20,59,44,15,6
Acadia,22001960800,6,4/2/20,4/8/20,61,53,8,3
Acadia,22001960800,7,4/9/20,4/15/20,55,51,4,2
Acadia,22001960800,8,4/16/20,4/22/20,40,40,0,0
Acadia,22001960800,9,4/23/20,4/29/20,33,33,0,0
Acadia,22001960800,10,4/30/20,5/6/20,45,41,4,0
Acadia,22001960800,11,5/7/20,5/13/20,73,61,12,4
Acadia,22001960800,12,5/14/20,5/20/20,179,162,17,13
Acadia,22001960800,13,5/21/20,5/27/20,178,173,5,0
Acadia,22001960800,14,5/28/20,6/3/20,366,335,31,21
Acadia,22001960800,15,6/4/20,6/10/20,218,202,16,9
Acadia,22001960800,16,6/11/20,6/17/20,300,258,42,15
Acadia,22001960800,17,6/18/20,6/24/20,336,272,64,21
Acadia,22001960800,18,6/25/20,7/1/20,437,374,63,21
Acadia,22001960800,19,7/2/20,7/8/20,432,366,66,25
Acadia,22001960800,20,7/9/20,7/15/20,463,409,54,31
Acadia,22001960800,21,7/16/20,7/22/20,565,517,47,24
Acadia,22001960800,22,7/23/20,7/29/20,366,330,36,25
Acadia,22001960800,23,7/30/20,8/5/20,290,279,11,11
Acadia,22001960800,24,8/6/20,8/12/20,313,297,16,11
Acadia,22001960800,25,8/13/20,8/19/20,287,273,14,9
Acadia,22001960800,26,8/20/20,8/26/20,257,252,5,3
Acadia,22001960800,27,8/27/20,9/2/20,263,259,4,4
Acadia,22001960800,28,9/3/20,9/9/20,235,233,2,2
Acadia,22001960800,29,9/10/20,9/16/20,229,227,2,1
Acadia,22001960800,30,9/17/20,9/23/20,213,208,5,2
Acadia,22001960800,31,9/24/20,9/30/20,245,243,2,2
Acadia,22001960900,1,2/27/20,3/4/20,0,0,0,0
Acadia,22001960900,2,3/5/20,3/11/20,0,0,0,0
Acadia,22001960900,3,3/12/20,3/18/20,13,10,3,1
Acadia,22001960900,4,3/19/20,3/25/20,29,12,17,8
Acadia,22001960900,5,3/26/20,4/1/20,75,29,46,14
Acadia,22001960900,6,4/2/20,4/8/20,96,70,26,5
Acadia,22001960900,7,4/9/20,4/15/20,39,23,16,2
Acadia,22001960900,8,4/16/20,4/22/20,35,31,4,1
Acadia,22001960900,9,4/23/20,4/29/20,25,23,2,0
Acadia,22001960900,10,4/30/20,5/6/20,63,59,4,2
Acadia,22001960900,11,5/7/20,5/13/20,42,29,13,5
Acadia,22001960900,12,5/14/20,5/20/20,68,67,1,1
Acadia,22001960900,13,5/21/20,5/27/20,54,48,6,6
Acadia,22001960900,14,5/28/20,6/3/20,141,122,19,12
Acadia,22001960900,15,6/4/20,6/10/20,108,101,7,3
Acadia,22001960900,16,6/11/20,6/17/20,100,93,7,6
Acadia,22001960900,17,6/18/20,6/24/20,152,130,22,9
Acadia,22001960900,18,6/25/20,7/1/20,252,222,30,16
Acadia,22001960900,19,7/2/20,7/8/20,157,115,42,21
Acadia,22001960900,20,7/9/20,7/15/20,198,163,35,23
Acadia,22001960900,21,7/16/20,7/22/20,181,158,23,14
Acadia,22001960900,22,7/23/20,7/29/20,97,78,19,13
Acadia,22001960900,23,7/30/20,8/5/20,154,134,20,10
Acadia,22001960900,24,8/6/20,8/12/20,101,84,17,9
Acadia,22001960900,25,8/13/20,8/19/20,91,78,13,5
Acadia,22001960900,26,8/20/20,8/26/20,69,67,2,2
Acadia,22001960900,27,8/27/20,9/2/20,62,58,4,3
Acadia,22001960900,28,9/3/20,9/9/20,48,45,3,2
Acadia,22001960900,29,9/10/20,9/16/20,81,74,7,4
Acadia,22001960900,30,9/17/20,9/23/20,195,155,3,2
Acadia,22001960900,31,9/24/20,9/30/20,167,125,3,2
Acadia,22001961000,1,2/27/20,3/4/20,0,0,0,0
Acadia,22001961000,2,3/5/20,3/11/20,0,0,0,0
Acadia,22001961000,3,3/12/20,3/18/20,19,19,0,0
Acadia,22001961000,4,3/19/20,3/25/20,20,16,4,4
Acadia,22001961000,5,3/26/20,4/1/20,73,57,16,5
Acadia,22001961000,6,4/2/20,4/8/20,92,69,23,7
Acadia,22001961000,7,4/9/20,4/15/20,72,56,16,3
Acadia,22001961000,8,4/16/20,4/22/20,62,53,9,0
Acadia,22001961000,9,4/23/20,4/29/20,38,30,8,0
Acadia,22001961000,10,4/30/20,5/6/20,73,58,15,1
Acadia,22001961000,11,5/7/20,5/13/20,99,60,39,29
Acadia,22001961000,12,5/14/20,5/20/20,203,114,88,65
Acadia,22001961000,13,5/21/20,5/27/20,156,139,17,10
Acadia,22001961000,14,5/28/20,6/3/20,174,165,9,2
Acadia,22001961000,15,6/4/20,6/10/20,96,88,8,4
Acadia,22001961000,16,6/11/20,6/17/20,114,104,10,5
Acadia,22001961000,17,6/18/20,6/24/20,112,100,12,7
Acadia,22001961000,18,6/25/20,7/1/20,249,227,22,11
Acadia,22001961000,19,7/2/20,7/8/20,145,119,26,16
Acadia,22001961000,20,7/9/20,7/15/20,178,150,28,18
Acadia,22001961000,21,7/16/20,7/22/20,145,122,23,17
Acadia,22001961000,22,7/23/20,7/29/20,130,105,25,14
Acadia,22001961000,23,7/30/20,8/5/20,137,125,12,5
Acadia,22001961000,24,8/6/20,8/12/20,78,70,8,6
Acadia,22001961000,25,8/13/20,8/19/20,135,124,11,9
Acadia,22001961000,26,8/20/20,8/26/20,69,64,5,3
Acadia,22001961000,27,8/27/20,9/2/20,57,54,3,2
Acadia,22001961000,28,9/3/20,9/9/20,63,60,3,3
Acadia,22001961000,29,9/10/20,9/16/20,67,61,6,2
Acadia,22001961000,30,9/17/20,9/23/20,59,56,2,2
Acadia,22001961000,31,9/24/20,9/30/20,62,60,2,2
Acadia,22001961100,1,2/27/20,3/4/20,0,0,0,0
Acadia,22001961100,2,3/5/20,3/11/20,0,0,0,0
Acadia,22001961100,3,3/12/20,3/18/20,0,0,0,0
Acadia,22001961100,4,3/19/20,3/25/20,6,6,0,0
Acadia,22001961100,5,3/26/20,4/1/20,7,7,0,0
Acadia,22001961100,6,4/2/20,4/8/20,7,5,2,2
Acadia,22001961100,7,4/9/20,4/15/20,6,3,3,1
Acadia,22001961100,8,4/16/20,4/22/20,2,2,0,0
Acadia,22001961100,9,4/23/20,4/29/20,11,11,0,0
Acadia,22001961100,10,4/30/20,5/6/20,29,29,0,0
Acadia,22001961100,11,5/7/20,5/13/20,26,26,0,0
Acadia,22001961100,12,5/14/20,5/20/20,14,14,0,0
Acadia,22001961100,13,5/21/20,5/27/20,7,7,0,0
Acadia,22001961100,14,5/28/20,6/3/20,26,26,0,0
Acadia,22001961100,15,6/4/20,6/10/20,33,33,0,0
Acadia,22001961100,16,6/11/20,6/17/20,31,30,1,1
Acadia,22001961100,17,6/18/20,6/24/20,51,48,3,2
Acadia,22001961100,18,6/25/20,7/1/20,55,47,8,6
Acadia,22001961100,19,7/2/20,7/8/20,54,38,16,11
Acadia,22001961100,20,7/9/20,7/15/20,53,49,4,4
Acadia,22001961100,21,7/16/20,7/22/20,49,45,4,3
Acadia,22001961100,22,7/23/20,7/29/20,45,37,8,1
Acadia,22001961100,23,7/30/20,8/5/20,40,36,4,3
Acadia,22001961100,24,8/6/20,8/12/20,30,26,4,2
Acadia,22001961100,25,8/13/20,8/19/20,29,28,1,1
Acadia,22001961100,26,8/20/20,8/26/20,18,14,4,3
Acadia,22001961100,27,8/27/20,9/2/20,17,17,0,0
Acadia,22001961100,28,9/3/20,9/9/20,26,26,0,0
Acadia,22001961100,29,9/10/20,9/16/20,16,13,3,3
Acadia,22001961100,30,9/17/20,9/23/20,26,25,1,1
Acadia,22001961100,31,9/24/20,9/30/20,27,27,0,0
Acadia,22001961200,1,2/27/20,3/4/20,0,0,0,0
Acadia,22001961200,2,3/5/20,3/11/20,0,0,0,0
Acadia,22001961200,3,3/12/20,3/18/20,9,9,0,0
Acadia,22001961200,4,3/19/20,3/25/20,12,6,6,2
Acadia,22001961200,5,3/26/20,4/1/20,17,7,10,2
Acadia,22001961200,6,4/2/20,4/8/20,28,27,1,1
Acadia,22001961200,7,4/9/20,4/15/20,23,23,0,0
Acadia,22001961200,8,4/16/20,4/22/20,20,20,0,0
Acadia,22001961200,9,4/23/20,4/29/20,21,21,0,0
Acadia,22001961200,10,4/30/20,5/6/20,26,26,0,0
Acadia,22001961200,11,5/7/20,5/13/20,13,13,0,0
Acadia,22001961200,12,5/14/20,5/20/20,15,15,0,0
Acadia,22001961200,13,5/21/20,5/27/20,44,41,3,2
Acadia,22001961200,14,5/28/20,6/3/20,58,57,1,1
Acadia,22001961200,15,6/4/20,6/10/20,58,54,4,3
Acadia,22001961200,16,6/11/20,6/17/20,51,43,8,4
Acadia,22001961200,17,6/18/20,6/24/20,87,78,9,8
Acadia,22001961200,18,6/25/20,7/1/20,104,93,11,5
Acadia,22001961200,19,7/2/20,7/8/20,71,55,16,11
Acadia,22001961200,20,7/9/20,7/15/20,97,73,24,21
Acadia,22001961200,21,7/16/20,7/22/20,88,71,17,12
Acadia,22001961200,22,7/23/20,7/29/20,61,48,13,9
Acadia,22001961200,23,7/30/20,8/5/20,64,57,7,5
Acadia,22001961200,24,8/6/20,8/12/20,57,50,7,6
Acadia,22001961200,25,8/13/20,8/19/20,54,46,8,6
Acadia,22001961200,26,8/20/20,8/26/20,43,33,10,5
Acadia,22001961200,27,8/27/20,9/2/20,35,33,2,1
Acadia,22001961200,28,9/3/20,9/9/20,36,36,0,0
Acadia,22001961200,29,9/10/20,9/16/20,48,44,4,2
Acadia,22001961200,30,9/17/20,9/23/20,39,39,0,0
Acadia,22001961200,31,9/24/20,9/30/20,44,40,4,2
Allen,22003950100,1,2/27/20,3/4/20,0,0,0,0
Allen,22003950100,2,3/5/20,3/11/20,0,0,0,0
Allen,22003950100,3,3/12/20,3/18/20,1,1,0,0
Allen,22003950100,4,3/19/20,3/25/20,4,4,0,0
Allen,22003950100,5,3/26/20,4/1/20,3,3,0,0
Allen,22003950100,6,4/2/20,4/8/20,6,6,0,0
Allen,22003950100,7,4/9/20,4/15/20,5,5,0,0
Allen,22003950100,8,4/16/20,4/22/20,7,7,0,0
Allen,22003950100,9,4/23/20,4/29/20,19,19,0,0
Allen,22003950100,10,4/30/20,5/6/20,10,10,0,0
Allen,22003950100,11,5/7/20,5/13/20,8,8,0,0
Allen,22003950100,12,5/14/20,5/20/20,6,6,0,0
Allen,22003950100,13,5/21/20,5/27/20,10,10,0,0
Allen,22003950100,14,5/28/20,6/3/20,6,6,0,0
Allen,22003950100,15,6/4/20,6/10/20,13,12,1,1
Allen,22003950100,16,6/11/20,6/17/20,38,28,10,10
Allen,22003950100,17,6/18/20,6/24/20,54,46,8,8
Allen,22003950100,18,6/25/20,7/1/20,45,38,7,3
Allen,22003950100,19,7/2/20,7/8/20,41,31,10,8
Allen,22003950100,20,7/9/20,7/15/20,30,25,5,5
Allen,22003950100,21,7/16/20,7/22/20,40,31,9,6
Allen,22003950100,22,7/23/20,7/29/20,42,31,11,9
Allen,22003950100,23,7/30/20,8/5/20,32,26,6,5
Allen,22003950100,24,8/6/20,8/12/20,28,21,7,5
Allen,22003950100,25,8/13/20,8/19/20,25,19,6,6
Allen,22003950100,26,8/20/20,8/26/20,19,16,3,2
Allen,22003950100,27,8/27/20,9/2/20,2,2,0,0
Allen,22003950100,28,9/3/20,9/9/20,9,6,3,3
Allen,22003950100,29,9/10/20,9/16/20,21,18,3,3
Allen,22003950100,30,9/17/20,9/23/20,11,11,0,0
Allen,22003950100,31,9/24/20,9/30/20,14,13,1,1
Allen,22003950200,1,2/27/20,3/4/20,0,0,0,0
Allen,22003950200,2,3/5/20,3/11/20,0,0,0,0
Allen,22003950200,3,3/12/20,3/18/20,0,0,0,0
Allen,22003950200,4,3/19/20,3/25/20,18,10,8,2
Allen,22003950200,5,3/26/20,4/1/20,35,6,29,12
Allen,22003950200,6,4/2/20,4/8/20,14,14,0,0
Allen,22003950200,7,4/9/20,4/15/20,13,10,3,0
Allen,22003950200,8,4/16/20,4/22/20,18,12,6,2
Allen,22003950200,9,4/23/20,4/29/20,8,6,2,0
Allen,22003950200,10,4/30/20,5/6/20,18,16,2,0
Allen,22003950200,11,5/7/20,5/13/20,14,10,4,0
Allen,22003950200,12,5/14/20,5/20/20,17,13,4,0
Allen,22003950200,13,5/21/20,5/27/20,21,21,0,0
Allen,22003950200,14,5/28/20,6/3/20,16,15,1,1
Allen,22003950200,15,6/4/20,6/10/20,21,20,1,0
Allen,22003950200,16,6/11/20,6/17/20,44,37,7,6
Allen,22003950200,17,6/18/20,6/24/20,31,27,4,2
Allen,22003950200,18,6/25/20,7/1/20,38,31,7,5
Allen,22003950200,19,7/2/20,7/8/20,69,53,16,12
Allen,22003950200,20,7/9/20,7/15/20,56,42,14,9
Allen,22003950200,21,7/16/20,7/22/20,57,40,17,13
Allen,22003950200,22,7/23/20,7/29/20,49,38,11,6
Allen,22003950200,23,7/30/20,8/5/20,37,24,13,7
Allen,22003950200,24,8/6/20,8/12/20,39,31,8,6
Allen,22003950200,25,8/13/20,8/19/20,23,20,3,3
Allen,22003950200,26,8/20/20,8/26/20,22,19,3,2
Allen,22003950200,27,8/27/20,9/2/20,12,10,2,2
Allen,22003950200,28,9/3/20,9/9/20,20,19,1,0
Allen,22003950200,29,9/10/20,9/16/20,25,24,1,0
Allen,22003950200,30,9/17/20,9/23/20,24,22,2,2
Allen,22003950200,31,9/24/20,9/30/20,29,25,4,3
Allen,22003950300,1,2/27/20,3/4/20,0,0,0,0
Allen,22003950300,2,3/5/20,3/11/20,0,0,0,0
Allen,22003950300,3,3/12/20,3/18/20,1,1,0,0
